disc,link,state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,Notes,UGrad Concentrations
"Applied Geography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Geographic Education Geomorphology GIS Hazards Medical Geography Physical Geography/General Political Geography Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",https://www.siue.edu/artsandsciences/geography/,IL,"Southern Illinois University, Edwardsville",,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,,,,,,,,
,https://www.swic.edu/academics/transfer-degrees/social-science/geography/,IL,Southwestern Illinois College,,"Department of Geography, History, and Political Science",Arts and Sciences Division,x,,,x,,,,,,,,,,,
,https://cola.siu.edu/geography/undergraduate/,IL,"Southern Illinois University, Carbondale",,Department of Geography and Environmental Resources,Science and Mathematics Program ,x,,,,x,,x,,,,x,x,,BS and MS Geography and Environmental Resources,
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Environmental Studies Geographic Education Geomorphology GIS Hazards Historical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Urban Geography",https://www.valpo.edu/geography-meteorology/,IN,Valparaiso University,,Department of Geography and Meteorology,College of Arts and Sciences,x,,,,x,x,,,,,,,,,
Cartography Climatology/Meteorology GIS GIS Certificate Program Recreation and Tourism,https://www.bsu.edu/academics/collegesanddepartments/geography,IN,Ball State University,,Department of Geography,College of Sciences and Humanities,x,x,,,x,x,x,,,,,,,,
Applied Geography Environmental Studies GIS GIS Certificate Program Medical Geography Remote Sensing,https://liberalarts.iupui.edu/geography/,IN,"Indiana University - Purdue University, Indianapolis",,Department of Geography,School of Liberal Arts,x,x,,,,x,,,,,,,,MS GIS ,
,https://www.indstate.edu/cas/ees/undergraduate/majors,IN,Indiana State University,,Department of Earth and Environmental Systems,College of Arts and Sciences,,,,,x,,,x,,,x,,,BS Geography and Sustainability,
"Agricultural Geography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Economic Development Environmental Studies GIS Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Urban Geography Water Resources",https://geography.indiana.edu/,IN,Indiana University Bloomington,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,x,x,,,,,,
"Applied Geography Cartography Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Energy Environmental Studies Geographic Education Geomorphology GIS GIS Certification Program Hazards Physical Geography/General Planning (Regional/Urban) Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Urban Geography Water Resources",https://csbs.uni.edu/geography,IA,University of Northern Iowa,,Department of Geography,College of Social and Behavioral Sciences,x,x,,,x,x,,x,,,,,,,"Geography: Globalization and Regional Geography Major (B.A)

Geography: Environmental Systems and Sustainability Major (B.A.)

Geography: Planning and Developing Major (B.A.)

Geographic Information Science: Environmental Science and Policy Major (B.S.)

Geographic Information Science: Economic Geography and Business (B.S.)

Geographic Information Science: Planning and Policy (B.S.)

Environmental Resource Management (B.A)"
"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Energy Environmental Studies GIS GIS Certificate Program Hazards Medical Geography Physical Geography/General Planning (Regional/Urban) Quantitative Methods Remote Sensing Water Resources",https://clas.uiowa.edu/geography/,IA,University of Iowa,,Department of Geographical and Sustainability Sciences,College of Liberal Arts and Sciences,x,,,,x,x,,x,x,,,,,,
